Field,Type,Null,Key,Default,Extra
id_cliente,int,NO,PRI,NULL,auto_increment
nombre,varchar(50),NO,,NULL,
apelllido,varchar(50),NO,,NULL,
email,varchar(50),NO,UNI,NULL,
direccion,varchar(50),NO,,NULL,
